neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,distance,price_per_night,available_morethan_200,reviews_morethan_100,distance_morethan_15,good_neighbourhood,ln_price
78703,apartments,175,2,64,0.86,26,354,2.1203807367705974,87.5,1,0,1,0,4.471638793363569
78723,apartments,153,2,316,4.2,2,235,7.817610533071437,76.5,1,1,1,0,4.33729074083249
78756,apartments,125,2,47,0.62,1,1,5.515228991145565,62.5,0,0,1,1,4.135166556742356
78756,apartments,775,31,9,0.13,1,365,5.788130966594453,25,1,0,1,1,3.2188758248682006
78745,apartments,55,3,2,0.03,6,365,7.566663285473974,18.333333333333332,1,0,1,1,2.908720896564361
78745,apartments,150,30,23,0.31,1,247,9.067890350404062,5,1,0,1,1,1.6094379124341003
78757,apartments,66,7,355,4.71,1,135,9.425546639457766,9.428571428571429,0,1,1,1,2.243744592971112
78756,apartments,70,1,175,2.32,1,22,6.102874530374759,70,0,1,1,1,4.248495242049359
78725,apartments,159,30,55,0.82,1,0,7.297146627220681,5.3,0,0,1,0,1.667706820558076
78704,apartments,93,1,201,2.94,1,0,2.5278589746732476,93,0,1,1,0,4.532599493153256
78751,apartments,250,4,0,NA,1,0,5.600000658960115,62.5,0,0,1,1,4.135166556742356
78757,apartments,200,3,17,0.23,1,0,8.422828467121082,66.66666666666667,0,0,1,1,4.199705077879927
78704,apartments,175,2,0,NA,1,0,5.355358639484775,87.5,0,0,1,0,4.471638793363569
78728,apartments,42,2,6,0.61,1,0,20.198363029648124,21,0,0,0,0,3.044522437723423
78702,apartments,200,3,273,3.62,3,0,2.478076571089989,66.66666666666667,0,1,1,0,4.199705077879927
78704,apartments,75,1,1,0.02,1,0,1.8630985891813734,75,0,0,1,0,4.31748811353631
78745,apartments,196,2,1,0.01,1,0,10.156472029075625,98,0,0,1,1,4.584967478670572
78704,apartments,125,2,52,0.7,8,90,2.0659766501995867,62.5,0,0,1,0,4.135166556742356
78704,apartments,125,2,34,0.46,8,90,2.1799595917178056,62.5,0,0,1,0,4.135166556742356
78727,apartments,79,2,8,0.11,1,0,15.965393969433023,39.5,0,0,0,0,3.676300671907076
78728,apartments,389,4,4,0.06,7,107,20.239679197368147,97.25,0,0,0,0,4.577284982498556
78704,apartments,104,2,149,2.05,2,249,3.972700628554797,52,1,1,1,0,3.9512437185814275
78704,apartments,125,2,62,0.83,8,90,2.037045679730624,62.5,0,0,1,0,4.135166556742356
78704,apartments,110,2,51,0.7,8,90,1.9958763140741909,55,0,0,1,0,4.007333185232471
78704,apartments,135,2,73,0.98,2,0,4.113931418410007,67.5,0,0,1,0,4.212127597878484
78728,apartments,256,3,6,0.09,7,329,20.16733094327142,85.33333333333333,1,0,0,0,4.446565155811452
78704,apartments,170,2,10,0.13,1,0,4.1079949205846384,85,0,0,1,0,4.442651256490317
78703,apartments,200,30,10,0.15,2,245,1.0905914731911295,6.666666666666667,1,0,1,0,1.8971199848858813
78704,apartments,145,2,58,0.86,8,275,3.102737987469248,72.5,1,0,1,0,4.283586561860629
78703,apartments,130,2,155,2.13,2,201,1.0627778934214092,65,1,1,1,0,4.174387269895637
78704,apartments,556,60,62,0.84,6,273,5.616023723615187,9.266666666666667,1,0,1,0,2.226423732028482
78703,apartments,130,2,190,2.68,2,3,1.0359110224224577,65,0,1,1,0,4.174387269895637
78717,apartments,105,183,17,0.26,1,232,25.156227035817476,0.5737704918032787,1,0,0,0,-0.5555258026838976
78722,apartments,125,3,90,1.37,1,319,2.7958767903831863,41.666666666666664,1,0,1,0,3.7297014486341915
78703,apartments,149,3,38,0.55,5,309,1.861555207954722,49.666666666666664,1,0,1,0,3.905334017277349
78751,apartments,171,3,197,2.79,2,102,4.561041391362458,57,0,1,1,1,4.04305126783455
78704,apartments,90,1,2,0.03,1,0,5.470936848620636,90,0,0,1,0,4.499809670330265
78702,apartments,95,2,277,3.9,2,124,1.8773246274623279,47.5,0,1,1,0,3.8607297110405954
78746,apartments,90,5,20,0.28,1,0,6.953732542035729,18,0,0,1,1,2.8903717578961645
78704,apartments,196,3,8,0.19,3,59,2.9976235239746383,65.33333333333333,0,0,1,0,4.179502370562408
78731,apartments,65,2,467,6.47,1,70,4.238142509430465,32.5,0,1,1,0,3.481240089335692
78704,apartments,130,2,10,0.17,1,0,2.0412296005096704,65,0,0,1,0,4.174387269895637
78745,apartments,263,3,15,0.21,1,90,6.928981865227935,87.66666666666667,0,0,1,1,4.473541743509655
78704,apartments,92,2,220,3.1,3,348,3.129567267631987,46,1,1,1,0,3.828641396489095
78704,apartments,60,30,39,0.54,1,0,3.5591550814792345,2,0,0,1,0,0.6931471805599453
78703,apartments,95,2,127,1.75,1,337,2.1392995321866053,47.5,1,1,1,0,3.8607297110405954
78704,apartments,200,3,8,0.12,1,0,4.844072653592367,66.66666666666667,0,0,1,0,4.199705077879927
78702,apartments,102,2,706,9.82,2,146,3.476375769148933,51,0,1,1,0,3.9318256327243257
78703,apartments,107,3,106,1.46,1,164,2.8363742399423426,35.666666666666664,0,1,1,0,3.574216545793796
78703,apartments,61,1,22,0.41,1,0,0.9070368209134697,61,0,0,1,0,4.110873864173311
78757,apartments,130,3,101,1.41,2,348,7.007055082128085,43.333333333333336,1,1,1,1,3.7689221617874726
78723,apartments,173,2,294,4.13,2,340,5.705438459687517,86.5,1,1,1,0,4.460144413937834
78704,apartments,156,4,385,5.49,2,282,3.392544275881651,39,1,1,1,0,3.6635616461296463
78756,apartments,347,30,4,0.06,1,0,4.475670748330961,11.566666666666666,0,0,1,1,2.448127398284704
78703,apartments,105,2,27,1.24,1,176,2.8739502689495016,52.5,0,0,1,0,3.960813169597578
78748,apartments,190,30,14,0.24,1,0,11.770820286935274,6.333333333333333,0,0,1,1,1.8458266904983307
78751,apartments,169,2,14,0.2,1,0,5.431687601232216,84.5,0,0,1,1,4.436751534363128
78704,apartments,175,2,15,0.29,1,0,3.2702555801596507,87.5,0,0,1,0,4.471638793363569
78703,apartments,98,3,208,2.95,2,300,1.7085255461138684,32.666666666666664,1,1,1,0,3.4863551900024623
78704,apartments,350,4,1,0.03,1,0,1.92668438299162,87.5,0,0,1,0,4.471638793363569
78704,apartments,175,2,608,8.48,3,277,3.0088432996049788,87.5,1,1,1,0,4.471638793363569
78702,apartments,150,3,183,2.61,1,51,1.9026201250931272,50,0,1,1,0,3.912023005428146
78704,apartments,250,45,68,0.97,2,293,2.890496689234272,5.555555555555555,1,0,1,0,1.7147984280919266
78737,apartments,188,2,14,0.2,3,273,24.22338724128333,94,1,0,0,0,4.543294782270004
78722,apartments,170,2,2,0.03,1,0,3.334461885521016,85,0,0,1,0,4.442651256490317
78749,apartments,150,2,12,0.17,1,0,8.92408075943389,75,0,0,1,1,4.31748811353631
78702,apartments,200,3,11,0.16,3,0,2.786996590048845,66.66666666666667,0,0,1,0,4.199705077879927
78702,apartments,78,1,339,4.84,2,166,1.8257893489022388,78,0,1,1,0,4.356708826689592
78702,apartments,92,28,186,2.65,2,76,2.7648599504161764,3.2857142857142856,0,1,1,0,1.1895840668738364
78704,apartments,196,3,1,0.01,1,0,3.756123562788302,65.33333333333333,0,0,1,0,4.179502370562408
78704,apartments,40,1,0,NA,1,0,2.3726294924420257,40,0,0,1,0,3.6888794541139363
78704,apartments,69,2,160,2.28,5,295,4.435488175146736,34.5,1,1,1,0,3.5409593240373143
78702,apartments,104,30,1,0.61,1,244,3.3973468453689466,3.466666666666667,1,0,1,0,1.2431935174792172
78702,apartments,75,2,4,0.06,1,0,2.53074677802122,37.5,0,0,1,0,3.624340932976365
78723,apartments,140,2,6,0.13,1,0,6.380998782319878,70,0,0,1,0,4.248495242049359
78704,apartments,110,2,2,0.03,1,0,2.9304051151136346,55,0,0,1,0,4.007333185232471
78757,apartments,274,31,0,NA,1,365,7.568757285283855,8.838709677419354,1,0,1,1,2.1791409019029238
78722,apartments,145,2,123,1.72,20,0,2.359376573297431,72.5,0,1,1,0,4.283586561860629
78721,apartments,103,4,39,0.85,1,0,6.371099019965271,25.75,0,0,1,0,3.248434627109745
78704,apartments,51,6,3,0.04,1,0,5.603761027969157,8.5,0,0,1,0,2.1400661634962708
78751,apartments,438,7,36,0.53,1,273,3.77495270448509,62.57142857142857,1,0,1,1,4.136308761321133
78704,apartments,275,3,0,NA,1,0,5.416310749449397,91.66666666666667,0,0,1,0,4.518158808998462
78704,apartments,225,3,46,0.66,1,230,3.3321396534702488,75,1,0,1,0,4.31748811353631
78704,apartments,199,4,119,1.86,1,327,2.967565186769628,49.75,1,1,1,0,3.907010463604602
